1450106558,esquilo,starting,
1450106559,fridge,3.8125,
1450106560,freezer,-19.5625,
1451552057,fridge,4.8125,
1451552058,freezer,-19.5,
1451552069,fridge,5.0625,
1451552069,freezer,-19.5625,
1451552080,fridge,5,
1451552081,freezer,-19.5625,
1451552091,fridge,4.8125,
1451552092,freezer,-19.625,
1451552120,esquilo,starting,
1451552120,fridge,4.3125,
1451552121,freezer,-19.5625,
1451552132,fridge,4.125,
1451552132,freezer,-19.5625,
1451552143,fridge,4,
1451552144,freezer,-19.5,
1451552154,fridge,3.75,
1451552155,freezer,-19.5,
1451552166,fridge,3.625,
1451552166,freezer,-19.4375,
1451552177,fridge,3.4375,
1451552178,freezer,-19.375,
1451552188,fridge,3.3125,
1451552189,freezer,-19.3125,
1451552200,fridge,3.125,
1451552200,freezer,-19.3125,
1450106558,esquilo,starting,
1450106559,fridge,5.25,
1450106560,freezer,-15.375,
1451552638,fridge,5.25,
1451552639,freezer,-15.3125,
1451552650,fridge,5.3125,
1451552650,freezer,-15.25,
1451552661,fridge,5.375,
1451552662,freezer,-15.1875,
1451552672,fridge,5.4375,
1451552673,freezer,-15.1875,
1451552684,fridge,5.4375,
1451552684,freezer,-15.125,
1450106558,esquilo,starting,
1450106559,fridge,8.625,
1450106560,freezer,-9.4375,
1451554040,fridge,8.625,
1451554041,freezer,-9.4375,
1451554051,fridge,8.625,
1451554052,freezer,-9.375,
1451554063,fridge,8.6875,
1451554063,freezer,-9.375,
1451554074,fridge,8.625,
1451554075,freezer,-9.25,
1451554085,fridge,8.6875,
1451554086,freezer,-9.25,
1451554097,fridge,8.6875,
1451554097,freezer,-9.1875,
1451554108,fridge,8.6875,
1451554109,freezer,-9.1875,
1451554119,fridge,8.6875,
1451554120,freezer,-9.125,
1451554131,fridge,8.75,
1451554132,freezer,-8.625,
1451554142,fridge,8.75,
1451554143,freezer,-6.9375,
1451554154,fridge,8.75,
1451554154,freezer,-6.4375,
1451554165,fridge,8.75,
1451554166,freezer,-6.3125,
1451554176,fridge,8.75,
1451554177,freezer,-6.1875,
1451554188,fridge,8.75,
1451554188,freezer,-6.0625,
1451554199,fridge,8.75,
1451554200,freezer,-6.0625,
1451554210,fridge,8.8125,
1451554211,freezer,-5.9375,
1451554222,fridge,8.8125,
1451554222,freezer,-5.9375,
1451554233,fridge,8.8125,
1451554234,freezer,-5.875,
1451554244,fridge,8.8125,
1451554245,freezer,-5.8125,
1451554256,fridge,8.8125,
1451554256,freezer,-5.75,
1451554267,fridge,8.8125,
1451554268,freezer,-5.75,
1451554278,fridge,8.8125,
1451554279,freezer,-5.6875,
1451554290,fridge,8.875,
1451554290,freezer,-5.6875,
1451554301,fridge,8.875,
1451554302,freezer,-5.6875,
1451554312,fridge,8.875,
1451554313,freezer,-5.625,
1451554324,fridge,8.9375,
1451554324,freezer,-5.625,
1451554335,fridge,8.9375,
1451554336,freezer,-5.625,
1451554347,fridge,8.9375,
1451554347,freezer,-5.625,
1451554358,fridge,8.9375,
1451554359,freezer,-5.5625,
1451554369,fridge,8.9375,
1451554370,freezer,-5.5625,
1451554381,fridge,8.9375,
1451554381,freezer,-5.5625,
1451554392,fridge,8.9375,
1451554393,freezer,-5.5625,
1451554403,fridge,8.9375,
1451554404,freezer,-5.5625,
1451554415,fridge,8.9375,
1451554415,freezer,-5.5625,
1451554426,fridge,9,
1451554427,freezer,-5.5625,
1451554437,fridge,9,
1451554438,freezer,-5.5,
1451554449,fridge,9,
1451554449,freezer,-5.5,
1451554460,fridge,9,
1451554461,freezer,-5.5,
1451554471,fridge,9,
1451554472,freezer,-5.5,
1451554483,fridge,9.0625,
1451554483,freezer,-5.5,
1451554494,fridge,9,
1451554495,freezer,-5.5,
1451554505,fridge,9,
1451554506,freezer,-5.4375,
1451554517,fridge,9.0625,
1451554517,freezer,-5.4375,
1451554528,fridge,9.0625,
1451554529,freezer,-5.4375,
1451554539,fridge,9.0625,
1451554540,freezer,-5.375,
1451554551,fridge,9.0625,
1451554551,freezer,-5.375,
1451554562,fridge,9.0625,
1451554563,freezer,-5.375,
1451554574,fridge,9.125,
1451554574,freezer,-5.375,
